Feature,Importance,Rank
num__EXT_SOURCE_MEAN,0.020519445,1
num__EXT_SOURCE_MAX,0.019440563,2
cat__NAME_CONTRACT_TYPE_Revolving loans,0.012260332,3
cat__NAME_EDUCATION_TYPE_Higher education,0.0074177496,4
num__last5_underpay,0.007264359,5
num__EXT_SOURCE_MIN,0.0067944834,6
num__EXT_SOURCE_STD,0.006707085,7
num__latepayment_ratio,0.00666211,8
cat__CODE_GENDER_F,0.006510628,9
num__recent_underpay,0.0064243427,10
cat__CODE_GENDER_M,0.00628604,11
num__credit_utilization_mean,0.006238216,12
num__cnt_drawings_current_mean,0.0055534258,13
num__refusal_rate,0.005468554,14
cat__NAME_INCOME_TYPE_Working,0.0053109126,15
num__late_x_payment_cv,0.00491071,16
cat__FLAG_OWN_CAR_Y,0.004871636,17
num__FLAG_DOCUMENT_3,0.004848299,18
num__amt_drawings_atm_current_mean,0.004795991,19
num__EXT_SOURCE_3,0.004490967,20
num__bureau_debt_credit_ratio,0.004434869,21
num__cnt_drawings_current_std,0.0043995883,22
cat__FLAG_OWN_CAR_N,0.0042397827,23
num__FLAG_EMP_PHONE,0.003996295,24
num__AGE_YEARS,0.003947167,25
num__EXT_SOURCE_2,0.0039373273,26
num__EMPLOYMENT_YEARS,0.0036970829,27
num__payment_ratio_q95,0.003650392,28
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.003644781,29
cat__NAME_FAMILY_STATUS_Married,0.0034642685,30
num__amt_payment_sum,0.0033880568,31
cat__NAME_CONTRACT_TYPE_Cash loans,0.0033737363,32
num__CREDIT_ANNUITY_RATIO,0.0033425358,33
num__DEF_60_CNT_SOCIAL_CIRCLE,0.0031710777,34
num__days_instalment_std,0.0031709769,35
num__cnt_payment_std,0.0030948608,36
num__amt_total_receivable_mean,0.0030765443,37
num__bureau_active_loans,0.0030491813,38
num__FLOORSMAX_MODE,0.0030421314,39
num__cnt_instalment_max,0.0030144996,40
num__recent_payment_mean,0.0029522774,41
num__credit_utilization_min,0.00291398,42
num__late_x_payment_ratio,0.002854649,43
