mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
135.23840324083963,0.39072527942814034,2.3604873021443686,0.04074781874677228,1.0,10.0,7,0.0,500,2,5,0.05,0.5,0.8,"{'subsample': 1.0, 'scale_pos_weight': 10, 'reg_lambda': 7, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.7576705631299226,0.7648794837144439,0.7627409830662292,0.7617636766368653,0.003023075684479928,36,0.8440893615271081,0.840694427954191,0.8450780519183947,0.8432872804665646,0.0018773279389684174
171.13840834299722,0.11020414368458058,2.7048096656799316,0.009000763403377889,0.9,11.3,7,0.05,500,4,6,0.03,0.7,0.8,"{'subsample': 0.9, 'scale_pos_weight': 11.3, 'reg_lambda': 7, 'reg_alpha': 0.05, 'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.7, 'colsample_bytree': 0.8}",0.7591317659069758,0.7636780290122069,0.7624821523341216,0.7617639824177681,0.0019242233198640208,35,0.8581967765002716,0.8559616003698359,0.8579691634037387,0.8573758467579488,0.0010043311423184262
127.8033143679301,2.0398143659333883,2.2949957052866616,0.02126385441769221,1.0,10.0,5,0.0,400,2,6,0.04,0.3,0.8,"{'subsample': 1.0, 'scale_pos_weight': 10, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 400, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.04, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.757043694850863,0.763659178648347,0.76075911063577,0.7604873280449933,0.0027075888167864145,76,0.8572311834017107,0.8537529200272969,0.8579664656996518,0.8563168563762198,0.001837659238526486
151.06728601455688,0.8958088374924317,2.764664967854818,0.04858210536117964,1.0,13.0,7,0.1,500,3,6,0.04,0.5,0.8,"{'subsample': 1.0, 'scale_pos_weight': 13, 'reg_lambda': 7, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.04, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.7554875068396942,0.7625056143304926,0.7606238268714088,0.759538982680532,0.002966043759731084,88,0.8694736516474941,0.8656183664719798,0.8700271607452503,0.8683730596215747,0.0019609256048515873
162.35871513684592,1.3347537718767963,2.212236245473226,0.01589608281703255,0.8,10.0,3,0.0,500,2,5,0.02,0.5,0.8,"{'subsample': 0.8, 'scale_pos_weight': 10, 'reg_lambda': 3, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.02, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.7586212931642173,0.7632938799579492,0.7618134464933931,0.7612428732051866,0.0019497747295778272,55,0.8083485182267315,0.8047074434482829,0.8071038486423389,0.806719936772451,0.0015110476781456592
111.42270056406657,0.2392342878870565,1.6529836654663086,0.005809861985928638,0.9,13.0,5,0.0,400,3,4,0.04,0.3,0.7,"{'subsample': 0.9, 'scale_pos_weight': 13, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.04, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.7589400280292707,0.763445910236519,0.7620633659168876,0.7614831013942259,0.0018847234639939505,46,0.7979264715209231,0.7949073929906119,0.796951497945657,0.796595120819064,0.0012580308118419572
178.02334880828857,0.5396103603900998,2.589238246281942,0.020266369142595726,0.8,13.0,7,0.05,700,4,4,0.05,0.7,0.8,"{'subsample': 0.8, 'scale_pos_weight': 13, 'reg_lambda': 7, 'reg_alpha': 0.05, 'n_estimators': 700, 'min_child_weight': 4, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.7, 'colsample_bytree': 0.8}",0.7595303808671232,0.764843892055286,0.7633375227371629,0.7625705985531908,0.002235990431502175,11,0.8304448936806978,0.8279522854890211,0.8290005030404052,0.829132560736708,0.0010218784421081627
171.7104614575704,0.6562940974309345,2.6003738244374595,0.014633987883684451,0.8,12.0,5,0.0,600,3,5,0.04,0.7,0.7,"{'subsample': 0.8, 'scale_pos_weight': 12, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 600, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.04, 'gamma': 0.7, 'colsample_bytree': 0.7}",0.7583934786918749,0.7639090256231491,0.763364910933805,0.7618891384162764,0.0024817658874803543,32,0.8482228279280202,0.84588494223268,0.8471810790760238,0.8470962830789079,0.0009563193859669299
216.54665398597717,0.7188007918408936,3.7775352795918784,0.023894565484810414,1.0,13.0,3,0.1,700,4,6,0.02,0.5,0.8,"{'subsample': 1.0, 'scale_pos_weight': 13, 'reg_lambda': 3, 'reg_alpha': 0.1, 'n_estimators': 700, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.02, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.7563180640509996,0.7623514078538628,0.7613215240225395,0.7599969986424672,0.0026351578033366008,83,0.8498290340612323,0.8459903437584131,0.8507673395093006,0.8488622391096486,0.002066549694507748
161.53657841682434,1.0609153567813359,2.2395233313242593,0.07438172184892265,0.8,10.0,3,0.1,500,3,5,0.02,0.7,0.8,"{'subsample': 0.8, 'scale_pos_weight': 10, 'reg_lambda': 3, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.02, 'gamma': 0.7, 'colsample_bytree': 0.8}",0.7585056781335738,0.7633297441428311,0.7618126319112137,0.7612160180625395,0.002014094383544806,56,0.8080193237549924,0.8046438573647008,0.8068854741304355,0.8065162184167095,0.0014025466539088927
